Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Label
192.168.10.50,80,172.16.0.1,30275,6,07/07/2017 04:08,7976472,1,6,1375,30,176.1430367,0.877580966,1,0,0,0,20,132,0.125368709,0.752212256,0,1375,0,1,0,0,1,1,0,0,BENIGN
172.16.0.1,62001,192.168.10.50,80,6,07/07/2017 04:02,840512,3,4,26,11601,13833.23498,8.328257062,0,0,0,0,72,92,3.569253027,4.759004036,0,8760,0,0,0,1,0,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,53519,6,07/07/2017 04:09,8957999,1,6,6,36,4.688547074,0.781424512,0,0,0,0,20,120,0.111632073,0.669792439,6,6,0,0,0,0,1,1,0,0,BENIGN
192.168.10.15,58653,23.52.155.27,80,6,07/07/2017 03:56,5251199,3,1,12,0,2.285192391,0.761730797,0,0,0,0,72,32,0.571298098,0.190432699,0,6,0,0,0,1,0,0,0,0,BENIGN
172.16.0.1,52657,192.168.10.50,80,6,07/07/2017 04:07,48140,3,5,26,11601,241524.7196,166.1819693,0,0,0,0,72,112,62.31823847,103.8637308,0,5840,0,0,0,1,0,0,0,0,DDoS
192.168.10.3,61011,192.168.10.1,53,17,07/07/2017 03:53,60248,1,1,48,104,2522.905325,33.19612269,0,0,0,0,20,20,16.59806135,16.59806135,48,104,0,0,0,0,0,0,0,0,BENIGN
192.168.10.50,80,172.16.0.1,56977,6,07/07/2017 04:11,3937304,1,5,1375,24,355.3192743,1.523885379,1,0,0,0,20,112,0.253980897,1.269904483,0,1375,0,1,0,0,1,1,0,0,BENIGN
192.168.10.50,80,172.16.0.1,50544,6,07/07/2017 04:05,485472,7,1,11601,20,23937.52884,16.47880825,0,0,0,0,164,20,14.41895722,2.059851032,0,4380,0,0,0,1,0,0,0,0,BENIGN
172.16.0.1,65357,192.168.10.50,80,6,07/07/2017 04:14,53985,5,0,30,0,555.7099194,92.6183199,0,0,0,0,100,0,92.6183199,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,56901,192.168.10.50,80,6,07/07/2017 04:01,4070910,4,0,24,0,5.895487741,0.98258129,0,0,0,0,80,0,0.98258129,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,56326,192.168.10.50,80,6,07/07/2017 03:59,1717421,3,5,26,11607,6773.528448,4.658147303,0,0,0,0,72,112,1.746805239,2.911342065,0,8675,0,0,0,1,0,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,34886,6,07/07/2017 04:11,7194585,1,5,6,30,5.003763247,0.833960541,0,0,0,0,20,100,0.138993424,0.694967118,6,6,0,0,0,0,1,1,0,0,BENIGN
192.168.10.50,80,172.16.0.1,59806,6,07/07/2017 04:11,1161472,5,2,11607,26,10015.73865,6.026834913,0,0,0,0,124,40,4.304882081,1.721952832,0,11595,0,0,0,1,0,0,0,0,BENIGN
172.16.0.1,58999,192.168.10.50,80,6,07/07/2017 04:10,97739332,8,6,56,11607,119.3276009,0.143238139,0,0,0,0,172,132,0.081850365,0.061387774,0,4380,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,62445,192.168.10.50,80,6,07/07/2017 04:12,105121,3,5,26,11607,110662.9503,76.1027768,0,0,0,0,72,112,28.5385413,47.5642355,0,10135,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,29817,192.168.10.50,80,6,07/07/2017 04:07,549039,3,6,26,11607,21187.93018,16.39227814,0,0,0,0,72,132,5.464092715,10.92818543,0,5840,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,26356,192.168.10.50,80,6,07/07/2017 04:04,636318,3,6,26,11607,18281.73963,14.14387146,0,0,0,0,72,132,4.71462382,9.42924764,0,5840,0,0,0,1,0,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,42652,6,07/07/2017 04:15,8018516,1,5,6,30,4.4896088,0.748268133,0,0,0,0,20,100,0.124711356,0.623556778,6,6,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,55346,192.168.10.50,80,6,07/07/2017 03:58,1366217,3,5,26,11607,8514.752781,5.855585167,0,0,0,0,72,112,2.195844438,3.659740729,0,10135,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,27213,192.168.10.50,80,6,07/07/2017 04:05,2267044,5,0,30,0,13.2330912,2.2055152,0,0,0,0,100,0,2.2055152,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,55275,192.168.10.50,80,6,07/07/2017 04:08,90676680,8,5,56,11607,128.6218243,0.143366519,0,0,0,0,172,112,0.08822555,0.055140969,0,5840,0,0,0,0,1,0,0,0,DDoS
192.168.10.12,57969,192.168.10.3,53,17,07/07/2017 04:13,314,2,2,64,204,853503.1847,12738.8535,0,0,0,0,64,64,6369.426752,6369.426752,32,102,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1,59594,192.168.10.50,80,6,07/07/2017 04:11,758773,3,4,26,11601,15323.42347,9.225420514,0,0,0,0,72,92,3.953751649,5.271668865,0,7215,0,0,0,1,0,0,0,0,DDoS
192.168.10.5,59235,192.168.10.3,53,17,07/07/2017 04:41,134,2,2,72,104,1313432.836,29850.74627,0,0,0,0,40,40,14925.37313,14925.37313,36,52,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1,29236,192.168.10.50,80,6,07/07/2017 04:07,9294752,4,0,24,0,2.582102244,0.430350374,0,0,0,0,80,0,0.430350374,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,56373,192.168.10.50,80,6,07/07/2017 04:00,591020,4,0,24,0,40.60776285,6.767960475,0,0,0,0,80,0,6.767960475,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,65051,192.168.10.50,80,6,07/07/2017 04:14,97552565,8,5,56,11607,119.5560568,0.133261488,0,0,0,0,172,112,0.08200707,0.051254419,0,7300,0,0,0,0,1,0,0,0,DDoS
23.208.27.150,443,192.168.10.9,9012,6,07/07/2017 03:33,3,2,0,37,0,12300000.0,666666.6667,1,0,0,0,40,0,666666.6667,0.0,6,31,0,1,0,0,1,0,0,0,BENIGN
192.168.10.50,80,172.16.0.1,51525,6,07/07/2017 04:06,82536965,6,10,11607,68,141.4517725,0.193852536,0,0,0,0,132,212,0.072694701,0.121157835,0,7300,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,56408,192.168.10.50,80,6,07/07/2017 04:10,2219031,5,0,30,0,13.51941456,2.253235759,0,0,0,0,100,0,2.253235759,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,56589,192.168.10.50,80,6,07/07/2017 04:09,1006181,3,4,26,11607,11561.53813,6.95699879,0,0,0,0,72,92,2.98157091,3.97542788,0,11595,0,0,0,1,0,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,65078,6,07/07/2017 04:04,82075364,5,9,11613,62,142.2473131,0.170574936,0,0,0,0,112,192,0.06091962,0.109655316,0,11595,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,15025,192.168.10.50,80,6,07/07/2017 03:57,855604,3,5,26,11607,13596.24312,9.350119915,0,0,0,0,72,112,3.506294968,5.843824947,0,10135,0,0,0,1,0,0,0,0,DDoS
192.168.10.3,61255,192.168.10.1,53,17,07/07/2017 04:12,48194,1,1,54,132,3859.401585,41.49894178,0,0,0,0,20,20,20.74947089,20.74947089,54,132,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1,54841,192.168.10.50,80,6,07/07/2017 04:09,3719048,5,0,30,0,8.06658048,1.34443008,0,0,0,0,100,0,1.34443008,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,50192,192.168.10.50,80,6,07/07/2017 04:15,55180,3,5,26,11601,210710.4023,144.9800652,0,0,0,0,72,112,54.36752447,90.61254078,0,5840,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,49571,192.168.10.50,80,6,07/07/2017 04:05,80622722,8,6,56,11607,144.6614516,0.173648317,0,0,0,0,172,132,0.09922761,0.074420707,0,5840,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,57434,192.168.10.50,80,6,07/07/2017 04:01,7981803,5,0,30,0,3.75854929,0.626424882,0,0,0,0,100,0,0.626424882,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,61895,192.168.10.50,80,6,07/07/2017 04:02,849479,3,6,26,11607,13694.27614,10.59472924,0,0,0,0,72,132,3.531576413,7.063152827,0,5840,0,0,0,1,0,0,0,0,DDoS
185.86.139.58,443,192.168.10.16,58230,6,07/07/2017 03:33,64,1,1,0,0,0.0,31250.0,0,0,0,0,32,32,15625.0,15625.0,0,0,0,0,0,0,1,0,0,0,BENIGN
172.16.0.1,22094,192.168.10.50,80,6,07/07/2017 04:01,7642958,4,0,24,0,3.140145478,0.52335758,0,0,0,0,80,0,0.52335758,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
23.52.155.27,80,192.168.10.8,10320,6,07/07/2017 04:58,46,1,1,6,6,260869.5652,43478.26087,0,0,0,0,20,20,21739.13043,21739.13043,6,6,0,0,0,0,1,1,0,0,BENIGN
192.168.10.50,80,172.16.0.1,54640,6,07/07/2017 03:58,71735789,7,10,11613,68,162.833645,0.236980735,0,0,0,0,152,212,0.097580303,0.139400432,0,5840,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,15621,192.168.10.50,80,6,07/07/2017 03:57,814253,3,5,26,11601,14279.34561,9.824956125,0,0,0,0,72,112,3.684358547,6.140597578,0,7300,0,0,0,1,0,0,0,0,DDoS
192.168.10.14,58540,47.89.67.240,443,6,07/07/2017 04:23,183314,8,4,542,3065,19676.62044,65.46144866,0,0,0,0,172,92,43.64096577,21.82048289,0,1599,0,0,0,1,0,0,0,0,BENIGN
192.168.10.15,60109,5.9.57.152,443,6,07/07/2017 04:29,71595839,16,19,1688,10610,171.7697589,0.488855225,0,0,0,0,332,464,0.223476674,0.265378551,0,1460,0,0,0,1,0,0,0,0,BENIGN
192.168.10.50,80,172.16.0.1,35313,6,07/07/2017 04:11,3235691,1,7,6,42,14.83454384,2.472423974,0,0,0,0,20,140,0.309052997,2.163370977,6,6,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,55543,192.168.10.50,80,6,07/07/2017 04:08,1200977,3,4,26,11607,9686.28042,5.828587891,0,0,0,0,72,92,2.497966239,3.330621652,0,11595,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,63779,192.168.10.50,80,6,07/07/2017 04:03,179255,3,6,26,11607,64896.37667,50.20780452,0,0,0,0,72,132,16.73593484,33.47186968,0,5840,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,16148,192.168.10.50,80,6,07/07/2017 03:58,1922003,5,0,30,0,15.60871653,2.601452755,0,0,0,0,100,0,2.601452755,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,54708,192.168.10.50,80,6,07/07/2017 03:58,72624898,8,6,56,11601,160.5096919,0.192771355,0,0,0,0,172,132,0.11015506,0.082616295,0,4380,0,0,0,0,1,0,0,0,DDoS
172.217.6.206,443,192.168.10.5,54862,6,07/07/2017 03:33,2,2,0,12,0,6000000.0,1000000.0,0,0,0,0,40,0,1000000.0,0.0,6,6,0,0,0,0,1,0,0,0,BENIGN
172.16.0.1,49172,192.168.10.50,80,6,07/07/2017 04:06,9741887,8,5,56,11607,1197.201322,1.334443727,0,0,0,0,172,112,0.82119614,0.513247587,0,7215,0,0,0,0,1,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,55286,6,07/07/2017 04:08,90635115,5,10,11613,68,128.8794084,0.165498769,0,0,0,0,112,212,0.055166256,0.110332513,0,11595,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,18003,192.168.10.50,80,6,07/07/2017 03:59,5377867,4,0,24,0,4.462735877,0.743789313,0,0,0,0,80,0,0.743789313,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,56802,6,07/07/2017 04:09,92007632,7,9,11607,62,126.8264354,0.173898617,0,0,0,0,152,192,0.076080645,0.097817972,0,5840,0,0,0,0,1,1,0,0,BENIGN
192.168.10.50,80,172.16.0.1,23102,6,07/07/2017 04:02,5997133,1,6,6,36,7.003346432,1.167224405,0,0,0,0,20,120,0.166746344,1.000478062,6,6,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,56153,192.168.10.50,80,6,07/07/2017 03:59,550655,3,4,26,11601,21114.85413,12.71213373,0,0,0,0,72,92,5.448057314,7.264076418,0,7215,0,0,0,1,0,0,0,0,DDoS
192.168.10.15,56312,192.168.10.3,53,17,07/07/2017 04:12,259,2,2,82,530,2362934.363,15444.01544,0,0,0,0,64,64,7722.007722,7722.007722,41,265,0,0,0,0,0,0,0,0,BENIGN
192.168.10.50,80,172.16.0.1,54277,6,07/07/2017 03:58,71391306,6,9,12976,56,182.5432357,0.210109618,1,0,0,0,132,204,0.084043847,0.126065771,0,5840,0,1,0,0,1,1,0,0,BENIGN
192.168.10.16,51026,192.229.163.213,443,6,07/07/2017 03:34,23569,1,1,0,0,0.0,84.85722771,0,0,0,0,32,32,42.42861386,42.42861386,0,0,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,27735,192.168.10.50,80,6,07/07/2017 04:06,7703415,4,0,24,0,3.115501372,0.519250229,0,0,0,0,80,0,0.519250229,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
192.168.10.9,9412,64.210.147.104,443,6,07/07/2017 03:53,1317071,10,7,566,5267,4428.766559,12.90742868,0,0,0,0,212,152,7.592605106,5.314823574,0,1982,0,0,0,1,0,0,0,0,BENIGN
192.168.10.50,80,172.16.0.1,18193,6,07/07/2017 03:59,10002764,1,5,6,30,3.599005235,0.599834206,0,0,0,0,20,100,0.099972368,0.499861838,6,6,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,54812,192.168.10.50,80,6,07/07/2017 04:09,5542061,5,0,30,0,5.413148646,0.902191441,0,0,0,0,100,0,0.902191441,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,64261,6,07/07/2017 04:14,101945996,7,9,12982,56,127.8912416,0.15694584,1,0,0,0,152,204,0.068663805,0.088282035,0,5840,0,1,0,0,1,1,0,0,BENIGN
172.16.0.1,41943,192.168.10.50,80,6,07/07/2017 04:15,804530,3,5,26,11601,14451.91603,9.943693834,0,0,0,0,72,112,3.728885188,6.214808646,0,4380,0,0,0,1,0,0,0,0,DDoS
192.168.10.16,19854,192.168.10.3,53,17,07/07/2017 04:31,157525,2,2,80,328,2590.065069,25.39279479,0,0,0,0,40,64,12.6963974,12.6963974,40,164,0,0,0,0,0,0,0,0,BENIGN
192.168.10.50,80,172.16.0.1,60430,6,07/07/2017 04:11,32603,5,2,11607,26,356807.6557,214.7041683,0,0,0,0,124,40,153.3601202,61.34404809,0,11595,0,0,0,1,0,0,0,0,BENIGN
172.16.0.1,58161,192.168.10.50,80,6,07/07/2017 04:10,93951224,8,6,56,11607,124.138883,0.149013492,0,0,0,0,172,132,0.085150567,0.063862925,0,4380,0,0,0,0,1,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,56755,6,07/07/2017 03:59,75544599,6,10,11613,68,154.6238931,0.211795419,0,0,0,0,132,212,0.079423282,0.132372137,0,10135,0,0,0,0,1,1,0,0,BENIGN
172.16.0.1,51869,192.168.10.50,80,6,07/07/2017 03:58,10629714,4,0,24,0,2.2578218,0.376303633,0,0,0,0,80,0,0.376303633,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,35208,192.168.10.50,80,6,07/07/2017 04:11,144026,3,4,26,11607,80770.13872,48.60233569,0,0,0,0,72,92,20.82957244,27.77276325,0,11595,0,0,0,1,0,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,60563,6,07/07/2017 04:03,8037537,5,9,11607,62,1451.812912,1.741827129,0,0,0,0,112,192,0.622081118,1.119746012,0,8760,0,0,0,0,1,1,0,0,BENIGN
192.168.10.3,61691,192.168.10.1,53,17,07/07/2017 04:53,23241,1,1,81,163,10498.68766,86.05481692,0,0,0,0,20,20,43.02740846,43.02740846,81,163,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1,64412,192.168.10.50,80,6,07/07/2017 04:05,11260712,4,0,24,0,2.131303953,0.355217326,0,0,0,0,80,0,0.355217326,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,58380,192.168.10.50,80,6,07/07/2017 04:00,15616,3,5,26,11601,744556.8648,512.295082,0,0,0,0,72,112,192.1106557,320.1844262,0,8760,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,64108,192.168.10.50,80,6,07/07/2017 04:13,274126,3,6,26,11601,42414.80195,32.83161758,0,0,0,0,72,132,10.94387253,21.88774505,0,5840,0,0,0,1,0,0,0,0,DDoS
192.168.10.15,59705,192.168.10.3,53,17,07/07/2017 04:12,173,2,2,62,94,901734.104,23121.38728,0,0,0,0,40,40,11560.69364,11560.69364,31,47,0,0,0,0,0,0,0,0,BENIGN
192.168.10.50,80,172.16.0.1,57025,6,07/07/2017 04:09,482935,5,2,11601,26,24075.70377,14.49470426,0,0,0,0,124,40,10.35336018,4.141344073,0,8760,0,0,0,1,0,0,0,0,BENIGN
172.16.0.1,51290,192.168.10.50,80,6,07/07/2017 04:06,81834927,8,5,56,11607,142.5186094,0.158856377,0,0,0,0,172,112,0.09775777,0.061098606,0,7215,0,0,0,0,1,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,31741,6,07/07/2017 04:09,8007906,1,6,6,36,5.24481681,0.874136135,0,0,0,0,20,120,0.124876591,0.749259544,6,6,0,0,0,0,1,1,0,0,BENIGN
192.168.10.50,80,172.16.0.1,18582,6,07/07/2017 03:59,5800141,1,6,6,36,7.241203274,1.206867212,0,0,0,0,20,120,0.172409602,1.034457611,6,6,0,0,0,0,1,1,0,0,BENIGN
192.168.10.50,80,172.16.0.1,40141,6,07/07/2017 04:14,38209,5,3,11601,26,304300.034,209.3747546,0,0,0,0,112,72,130.8592216,78.51553299,0,4380,0,0,0,1,1,0,0,0,BENIGN
172.16.0.1,58320,192.168.10.50,80,6,07/07/2017 04:10,933117,3,6,26,11601,12460.38814,9.645092738,0,0,0,0,72,132,3.215030913,6.430061825,0,5840,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,37598,192.168.10.50,80,6,07/07/2017 04:12,83192,3,5,26,11607,139833.157,96.16309261,0,0,0,0,72,112,36.06115973,60.10193288,0,10135,0,0,0,1,0,0,0,0,DDoS
192.168.10.50,80,172.16.0.1,53326,6,07/07/2017 04:07,238510,6,2,11607,26,48773.63633,33.54157058,0,0,0,0,144,40,25.15617794,8.385392646,0,7215,0,0,0,1,0,0,0,0,BENIGN
172.16.0.1,65375,192.168.10.50,80,6,07/07/2017 04:04,82030941,8,5,56,11607,142.1780594,0.158476787,0,0,0,0,172,112,0.097524177,0.060952611,0,5840,0,0,0,0,1,0,0,0,DDoS
192.168.10.5,55624,172.217.11.6,443,6,07/07/2017 03:38,113335994,25,32,2763,15054,157.2051329,0.502929369,0,0,0,0,512,652,0.220583057,0.282346313,0,2860,0,0,0,1,0,0,0,0,BENIGN
172.16.0.1,25171,192.168.10.50,80,6,07/07/2017 04:04,1770387,4,0,24,0,13.55635802,2.259393003,0,0,0,0,80,0,2.259393003,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,61920,192.168.10.50,80,6,07/07/2017 04:14,10459771,5,0,30,0,2.868131625,0.478021938,0,0,0,0,100,0,0.478021938,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,61501,192.168.10.50,80,6,07/07/2017 04:14,2170943,4,0,24,0,11.0551037,1.842517284,0,0,0,0,80,0,1.842517284,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,62490,192.168.10.50,80,6,07/07/2017 04:13,100274624,8,4,56,11601,116.2507475,0.119671354,0,0,0,0,172,92,0.079780902,0.039890451,0,8760,0,0,0,0,1,0,0,0,DDoS
192.168.10.15,58919,69.172.216.111,443,6,07/07/2017 03:59,1129221,7,7,1665,3369,4457.940474,12.39792742,0,0,0,0,152,152,6.19896371,6.19896371,0,1460,0,0,0,1,0,0,0,0,BENIGN
192.168.10.15,59588,205.174.165.73,8080,6,07/07/2017 04:18,9013425,3,0,0,0,0.0,0.332836852,0,0,0,0,92,0,0.332836852,0.0,0,0,0,0,0,1,0,0,0,0,BENIGN
172.16.0.1,49701,192.168.10.50,80,6,07/07/2017 04:06,4415043,5,0,30,0,6.794950808,1.132491801,0,0,0,0,100,0,1.132491801,0.0,6,6,0,0,0,0,1,0,0,0,DDoS
172.16.0.1,60931,192.168.10.50,80,6,07/07/2017 04:02,39310,3,6,26,11607,295929.7889,228.9493767,0,0,0,0,72,132,76.31645892,152.6329178,0,4380,0,0,0,1,0,0,0,0,DDoS
172.16.0.1,56325,192.168.10.50,80,6,07/07/2017 04:09,91405886,8,5,56,11601,127.5300805,0.142222789,0,0,0,0,172,112,0.087521716,0.054701073,0,8760,0,0,0,0,1,0,0,0,DDoS
